idClass,idCourse,idLocation,classNumber,idInstructor
90592372,228159,1826,7/8GIRLSCHOIR,4729500
90592340,228133,1826,8BIB-D,4729517
90592343,228133,1826,8BIB-E,4729517
90592345,228133,1826,8BIB-G,4729517
90592347,228133,1826,8BIB-H,4729517
90592595,247674,1826,8SHALL-4,4729517
90592408,228125,1826,6HIST-A,4755183
90592411,228125,1826,6HIST-B,4755183
90592413,228125,1826,6HIST-C,4755183
90592695,228125,1826,6HIST-D,4755183
90592704,283467,1826,6ADV-A,4755183
90592706,283467,1826,6ADV-A,4755183
90592652,283439,1826,5ELA-A,4754823
90592654,283439,1826,5ELA-A,4754823
90592655,283439,1826,5ELA-B,4754823
90592656,283439,1826,5ELA-B,4754823
90592657,283439,1826,5ELA-C,4754823
90592658,283439,1826,5ELA-C,4754823
90592659,283439,1826,5ELA-D,4754823
90592660,283439,1826,5ELA-D,4754823
90592679,283474,1826,5ADV-C,4754823
90592680,283474,1826,5ADV-C,4754823
90592559,240820,1826,5BIB-C,4754823
90592560,240820,1826,5BIB-C,4754823
90592593,247674,1826,8SHALL-3,4754944
90592594,247674,1826,8SHALL-3,4754944
90592738,228144,1826,A,4754944
90592740,228144,1826,A,4754944
90592741,228144,1826,C,4754944
90592742,228144,1826,C,4754944
90592752,283779,1826,F,4754944
90592754,283779,1826,F,4754944
90592796,302916,1826,E,4754944
90598399,283779,1826,D,4754944
90598400,283779,1826,D,4754944
90598406,228127,1826,E,4754944
90592410,228125,1826,6HIST-A,4755183
90592412,228125,1826,6HIST-B,4755183
90592414,228125,1826,6HIST-C,4755183
90592696,228125,1826,6HIST-D,4755183
90592618,228172,1826,READLAB-5B,4937802
90592620,228172,1826,READLAB-5B,4937802
90592630,249944,1826,6LLAB-I,4937802
90592632,249944,1826,6LLAB-I,4937802
90592721,228173,1826,MATHLAB-6,4937802
90592722,228173,1826,MATHLAB-6,4937802
90592813,228172,1826,READLAB-5A,4937802
90592814,228172,1826,READLAB-5A,4937802
90592853,283467,1826,6ADV-F,4937802
90592854,283467,1826,6ADV-F,4937802
90703594,228172,1826,READLAB-6A,4937802
90703595,228172,1826,READLAB-6A,4937802
90703596,228173,1826,MATHLAB-5,4937802
90703597,228173,1826,MATHLAB-5,4937802
90592610,228173,1826,MATHLAB-7,4940033
90592612,228173,1826,MATHLAB-7,4940033
90692028,305842,1826,John-F,4940033
90692029,305842,1826,John-F,4940033
90592418,228128,1826,7LIT-B,5134624
90592420,228128,1826,7LIT-B,5134624
90592421,228128,1826,7LIT-C,5134624
90592422,228128,1826,7LIT-C,5134624
90592423,228128,1826,7LIT-G,5134624
90592424,228128,1826,7LIT-G,5134624
90592425,228128,1826,7LIT-F,5134624
90592426,228128,1826,7LIT-F,5134624
90592623,228172,1826,R LAB-8,5134624
90592624,228172,1826,R LAB-8,5134624
90692059,305842,1826,G-E,5134624
90692060,305842,1826,G-E,5134624
90592288,249945,1826,7LLAB-1,5134625
90592290,249945,1826,7LLAB-1,5134625
90592802,305842,1826,M-F,5134625
90592804,305842,1826,M-F,5134625
90592819,253551,1826,M-3,5134625
90592820,253551,1826,M-3,5134625
90592821,253551,1826,M-4,5134625
90592822,253551,1826,M-4,5134625
90592851,253551,1826,M-7,5134625
90592852,253551,1826,M-7,5134625
90691692,305842,1826,M-A,5134625
90691693,305842,1826,M-A,5134625
90592294,249946,1826,8LLAB-1,5155866
90592296,249946,1826,8LLAB-1,5155866
90592805,305842,1826,W-H,5155866
90592806,305842,1826,W-H,5155866
90592811,305842,1826,W-G,5155866
90592812,305842,1826,W-G,5155866
90592815,253551,1826,W-3,5155866
90592816,253551,1826,W-3,5155866
90592817,253551,1826,W-4,5155866
90592818,253551,1826,W-4,5155866
90713173,253551,1826,W-2,5155866
90713174,253551,1826,W-2,5155866
90592480,228171,1826,5PE-A,5926841
90592482,228171,1826,5PE-A,5926841
90592483,228171,1826,5PE-B,5926841
90592484,228171,1826,5PE-B,5926841
90592485,228171,1826,5PE-C,5926841
90592486,228171,1826,5PE-C,5926841
90592621,228172,1826,R LAB-7,5161275
90592640,264095,1826,5LAN&ARTSURV-B-1,5737573
90592645,264095,1826,5LAN&ARTSURV-B-4,5161275
90592669,228171,1826,5PE-D,5926841
90592670,228171,1826,5PE-D,5926841
90592842,307273,1826,LIB6 - A,5161275
90592844,307273,1826,LIB6 - A,5161275
90592464,228147,1826,6ADVMATH-D,5365177
90592466,228147,1826,6ADVMATH-D,5365177
90592467,228147,1826,6ADVMATH-C,5365177
90592468,228147,1826,6ADVMATH-C,5365177
90592472,228140,1826,6MATH-A,5365177
90592474,228140,1826,6MATH-A,5365177
90592475,228140,1826,6MATH-B,5365177
90592476,228140,1826,6MATH-B,5365177
90592711,283467,1826,6ADV-D,5365177
90592712,283467,1826,6ADV-D,5365177
90592454,228153,1826,5MATH-A,5365183
90592456,228153,1826,5MATH-A,5365183
90592457,228153,1826,5MATH-B,5365183
90592458,228153,1826,5MATH-B,5365183
90592459,228153,1826,5MATH-C,5365183
90592460,228153,1826,5MATH-C,5365183
90592554,240820,1826,5BIB-A,5365183
90592556,240820,1826,5BIB-A,5365183
90592663,228153,1826,5MATH-D,5365183
90592664,228153,1826,5MATH-D,5365183
90592674,283474,1826,5ADV-A,5365183
90592676,283474,1826,5ADV-A,5365183
90592300,228131,1826,7th PERFCO-A,5365189
90592302,228131,1826,7th PERFCO-A,5365189
90598409,228131,1826,8th PERFCO-B,5365189
90598410,228131,1826,8th PERFCO-B,5365189
90592518,228129,1826,A,5385094
90592520,228129,1826,A,5385094
90592521,228129,1826,B,5385094
90592522,228129,1826,B,5385094
90592523,228129,1826,G,5385094
90592524,228129,1826,G,5385094
90592596,247674,1826,8SHALL-4,5385094
90592647,228129,1826,H,5385094
90592648,228129,1826,H,5385094
90649189,320996,1826,E,5385094
90649190,320996,1826,F,5385094
90649194,320996,1826,D,5385094
90649195,320996,1826,E,5385094
90592400,228150,1826,8SPAN-C,5399283
90592402,228150,1826,8SPAN-C,5399283
90592403,228150,1826,8SPAN-B,5399283
90592404,228150,1826,8SPAN-B,5399283
90592561,228150,1826,8SPAN-G,5399283
90592562,228150,1826,8SPAN-G,5399283
90592563,228150,1826,8SPAN-D,5399283
90592564,228150,1826,8SPAN-D,5399283
90592382,228132,1826,8ART-A,5448957
90592384,228132,1826,8ART-A,5448957
